Volunteer,Week,group,Trad,AVG_T,Sed ,AVG_S
406-0003,bsl,0,9,9,6,9
406-0003,wk06,0,10,8,8,9
406-0003,wk10,0,9,10,10,9
406-0005,bsl,0,8,10,10,10
406-0005,wk06,0,,,,
406-0005,wk10,0,,,,
406-0007,bsl,1,8,7,10,9
406-0007,wk06,1,9,9,10,10
406-0007,wk10,1,9,9,8,9
406-0009,bsl,0,1,4,10,10
406-0009,wk06,0,5,10,10,10
406-0009,wk10,0,5,10,10,9
406-0011,bsl,0,8,9,9,8
406-0011,wk06,0,8,10,10,10
406-0011,wk10,0,9,9,10,9
406-0015,bsl,1,10,7,9,5
406-0015,wk06,1,10,10,3,10
406-0015,wk10,1,10,10,10,10
406-0017,bsl,1,8,9,8,9
406-0017,wk06,1,9,8,6,8
406-0017,wk10,1,7,8,5,8
406-0019,bsl,1,7,9,5,8
406-0019,wk06,1,8,6,2,9
406-0019,wk10,1,7,,2,7
406-0021,bsl,1,8,8,8,9
406-0021,wk06,1,9,9,9,9
406-0021,wk10,1,10,9,10,9
406-0023,bsl,0,5,,,
406-0023,wk06,0,10,10,10,8
406-0023,wk10,0,5,9,10,10
406-0025,bsl,1,9,10,10,9
406-0025,wk06,1,9,8,10,8
406-0025,wk10,1,9,10,10,10
406-0027,bsl,0,10,8,7,8
406-0027,wk06,0,10,7,9,9
406-0027,wk10,0,7,7,7,8
406-0029,bsl,0,10,10,10,10
406-0029,wk06,0,10,8,7,7
406-0029,wk10,0,10,7,7,8
406-0031,bsl,1,8,8,10,7
406-0031,wk06,1,8,9,10,9
406-0031,wk10,1,9,9,10,9
406-0033,bsl,0,10,10,10,6
406-0033,wk06,0,10,7,10,10
406-0033,wk10,0,10,10,10,10
406-0035,bsl,1,10,8,10,7
406-0035,wk06,1,10,8,10,9
406-0035,wk10,1,10,8,9,9
406-0037,bsl,1,9,8,10,9
406-0037,wk06,1,8,5,9,7
406-0037,wk10,1,8,6,9,5
406-0039,bsl,0,10,7,10,5
406-0039,wk06,0,5,6,7,7
406-0039,wk10,0,6,6,6,8
406-0041,bsl,1,10,6,5,5
406-0041,wk06,1,9,10,8,9
406-0041,wk10,1,9,9,9,9
406-0045,bsl,0,10,10,10,9
406-0045,wk06,0,9,10,,
406-0045,wk10,0,9,10,10,10
406-0047,bsl,1,10,7,7,7
406-0047,wk06,1,8,8,7,8
406-0047,wk10,1,8,8,5,6
406-0049,bsl,0,5,5,5,6
406-0049,wk06,0,5,5,4,7
406-0049,wk10,0,5,6,4,5
406-0051,bsl,1,9,7,10,8
406-0051,wk06,1,10,8,9,8
406-0051,wk10,1,8,8,9,9
406-0053,bsl,0,5,9,7,7
406-0053,wk06,0,10,9,10,8
406-0053,wk10,0,7,9,6,6
406-0055,bsl,0,10,10,10,10
406-0055,wk06,0,5,10,10,10
406-0055,wk10,0,10,10,10,10
406-0057,bsl,0,8,3,5,6
406-0057,wk06,0,5,6,7,6
406-0057,wk10,0,5,8,5,5
406-0059,bsl,1,8,9,9,10
406-0059,wk06,1,8,9,9,8
406-0059,wk10,1,4,6,5,8
406-0061,bsl,1,9,7,7,7
406-0061,wk06,1,10,5,3,5
406-0061,wk10,1,5,5,5,5
406-0065,bsl,0,6,5,9,7
406-0065,wk06,0,7,9,6,5
406-0065,wk10,0,10,10,6,10
406-0067,bsl,1,10,10,3,10
406-0067,wk06,1,3,10,5,10
406-0067,wk10,1,5,10,6,10
406-0069,bsl,1,10,10,10,10
406-0069,wk06,1,10,10,10,10
406-0069,wk10,1,9,10,10,10
406-0071,bsl,0,10,9,10,9
406-0071,wk06,0,9,9,10,8
406-0071,wk10,0,9,9,9,7
406-0073,bsl,0,7,6,6,7
406-0073,wk06,0,6,8,7,7
406-0073,wk10,0,6,6,6,7
406-0075,bsl,0,5,8,10,9
406-0075,wk06,0,7,8,9,9
406-0075,wk10,0,3,9,6,8
406-0077,bsl,1,10,8,7,8
406-0077,wk06,1,9,9,9,9
406-0077,wk10,1,9,8,9,8
406-0079,bsl,1,8,7,10,7
406-0079,wk06,1,10,10,10,10
406-0079,wk10,1,10,10,9,10
406-0081,bsl,0,7,7,6,7
406-0081,wk06,0,7,9,6,9
406-0081,wk10,0,6,5,5,7
406-0085,bsl,0,8,9,9,10
406-0085,wk06,0,8,9,10,10
406-0085,wk10,0,9,9,9,10
406-0087,bsl,1,10,9,9,8
406-0087,wk06,1,10,9,9,9
406-0087,wk10,1,7,9,7,8
406-0089,bsl,1,10,9,10,10
406-0089,wk06,1,10,9,10,9
406-0089,wk10,1,9,9,8,8
406-0091,bsl,1,10,10,10,10
406-0093,bsl,0,10,10,10,10
406-0093,wk06,0,10,10,10,10
406-0093,wk10,0,10,5,6,8
406-0095,bsl,0,10,8,10,8
406-0095,wk06,0,6,6,10,8
406-0095,wk10,0,10,8,10,6
406-0099,bsl,0,10,7,10,10
406-0099,wk06,0,10,8,10,10
406-0099,wk10,0,8,9,10,10
406-0101,bsl,0,10,10,7,10
406-0101,wk06,0,10,6,7,7
406-0101,wk10,0,10,7,10,7
406-0103,bsl,1,10,8,9,10
406-0103,wk06,1,10,9,7,8
406-0103,wk10,1,10,10,10,10
406-0105,bsl,1,10,9,10,9
406-0105,wk06,1,10,10,9,9
406-0105,wk10,1,10,10,10,10
406-0111,bsl,1,7,7,9,7
406-0111,wk06,1,9,10,9,8
406-0111,wk10,1,10,10,9,9
406-0113,bsl,1,10,9,10,9
406-0113,wk06,1,10,9,10,10
406-0113,wk10,1,10,9,10,10
406-0115,bsl,1,6,7,7,9
406-0115,wk06,1,7,10,7,8
406-0115,wk10,1,6,5,4,6
406-0117,bsl,0,7,6,8,6
406-0117,wk06,1,8,10,9,9
406-0117,wk10,1,9,6,9,9
